provider_id,name,type,Fields Description,
270,Assam Gas Company Limited,GAS,CustomerID,
181,Bhagyanagar Gas Limited,GAS,CRN No,
182,Central U.P. Gas Limited,GAS,Customer Code / CRN Number,
183,Charotar Gas Sahakari Mandali Ltd,GAS,Customer Number,
184,GAIL Gas Limited,GAS,BP NO,
184,GAIL India Limited,GAS,BP No,
185,Green Gas Limited(GGL),GAS,CRN Number,
80,Gujarat Gas Limited,GAS,Customer ID,
271,Gujarat State Petronet Limited,GAS,Customer Id,
132,Haryana City Gas - Kapil Chopra Enterprise,GAS,CRN Number,
150,Indian Oil-Adani Gas Private Limited,GAS,Customer ID,
81,Indraprastha Gas,GAS,BP Number,
187,IRM Energy Private Limited,GAS,Customer_ID,
85,Mahanagar Gas Limited,GAS,CA Number,
188,Maharashtra Natural Gas Limited (MNGL),GAS,BP No,
124,Megha Gas,GAS,CRN NO,
272,Naveriya Gas Pvt Ltd,GAS,Consumer Number,
189,Sabarmati Gas Limited (SGL),GAS,Customer ID,
273,Sanwariya Gas Limited,GAS,Customer Code,
154,Torrent Gas Moradabad Limited formerly Siti Energy Limited,GAS,ARN Number,
134,Tripura Natural Gas,GAS,Consumer Number,
190,Unique Central Piped Gases Pvt Ltd (UCPGPL),GAS,Customer No,
191,Vadodara Gas Limited,GAS,Consumer Number,
192,Bangalore Water Supply and Sewerage Board,WATER,RR Number,
193,Bhopal Municipal Corporation - Water,WATER,Connection I,
274,City Municipal Council -Ilkal,WATER,Sequence Number,
194,Delhi Development Authority (DDA) - Water,WATER,Customer ID,
145,Delhi Jal Board,WATER,K No,
275,"Department of Public Health Engineering-Water, Mizoram",WATER,Consumer Number,
194,Greater Warangal Municipal Corporation - Water,WATER,CONNECTION ID,
195,Gwalior Municipal Corporation - Water,WATER,Connection ID,
276,Haryana Urban Development Authority,WATER,Site Code,
196,Hyderabad Metropolitan Water Supply and Sewerage Board,WATER,CAN Number,
197,Indore Municipal Corporation - Water,WATER,Service Number,
198,Jabalpur Municipal Corporation - Water,WATER,Service Number,
277,Jalkal Vibhag Nagar Nigam Prayagraj,WATER,Computer Code,
278,Jammu Kashmir Water Billing-JKPHE Jammu,WATER,Consumer Number,
279,Jammu Kashmir Water Billing-JKPHE Kashmir,WATER,Consumer Number,
280,Kalyan Dombivali Municipal Corporation - Water,WATER,Consumer ID,
281,Kerala Water Authority (KWA),WATER,Consumer ID,
282,Kolhapur Municipal Corporation - Water Tax,WATER,Connection No,
283,Madhya Pradesh Urban (e-Nagarpalika) - Water,WATER,"UlbCode,ConnNo,MobileNo,EmailId",
284,MCGM Water Department,WATER,Water Connection Number,
199,Municipal Corporation Chandigarh,WATER,Account No without(/),
200,Municipal Corporation Jalandhar,WATER,Account No,
201,Municipal Corporation Ludhiana - Water,WATER,Consumer Number,
285,Municipal Corporation of Amritsar,WATER,Water and Severage id,
146,Municipal Corporation of Gurugram,WATER,K No,
146,Municipal Corporation of Gurugram (MCG) - Water,WATER,"Site Code,Consumer No",
203,Mysuru City Corporation,WATER,Customer_ID,
286,Nagar Nigam Aligarh,WATER,Connection/Consumer Number,
204,New Delhi Municipal Council (NDMC) - Water,WATER,Consumer Number,
287,Pimpri Chinchwad Municipal Corporation(PCMC),WATER,Consumer id,
288,Port Blair Municipal Council - Water,WATER,Citizen ID,
289,"Public Health Engineering Department, Haryana",WATER,Consumer ID,
205,Pune Municipal Corporation - Water,WATER,Consumer No,
290,Punjab Municipal Corporations/Councils,WATER,Consumer Number,
206,Ranchi Municipal Corporation,WATER,Consumer No,
291,Shivamoga City Corporation - Water Tax,WATER,Customer ID,
292,Silvassa Municipal Council,WATER,Form No,
207,Surat Municipal Corporation - Water,WATER,Connection Number,
208,Ujjain Nagar Nigam - PHED,WATER,Business Partner Number,
142,Urban Improvement Trust (UIT) - Bhiwadi,WATER,Customer ID,
144,Uttarakhand Jal Sansthan,WATER,Consumer Number (Last 7 Digits),
293,Vasai Virar Municipal Corporation - Water,WATER,"Zone ID and Ward ID,ConnectionNo",
294,Vatva Industrial Estate Infrastructure Development Ltd,WATER,Connection No,
295,Vijayapura Water Board,WATER,Customer ID,
130,MP Poorva Kshetra Vidyut Vitaran Co. Ltd Jabalpur - NGB billing system,ELECTRICITY,Consumer Number/IVRS,
155,LIC,LIC,Policy Number,
224,SBI Life Insurance Company Limited,INSURANCE,"Policy Number,DOB (DD-MM-YYYY)",
225,Aditya Birla Health Insurance Co Limited,INSURANCE,Policy Number,
226,Aditya Birla Sun Life Insurance,INSURANCE,"Policy Number,DOB (YYYY-MM-DD)",
227,Aegon Life Insurance,INSURANCE,"Policy Number,DOB(DD/MM/YYYY)",
228,Ageas Federal Life Insurance Company Limited,INSURANCE,"Policy Number,Date of Birth(YYYYMMDD)",
229,Aviva Life Insurance,INSURANCE,Policy No,
230,Bajaj Allianz General Insurance,INSURANCE,"Policy Number,Date Of Birth (YYYY-MM-DD)",
231,Bajaj Allianz Life Insurance Company Limited,INSURANCE,"Policy No,DOB(YYYYMMDD)",
232,BHARTI AXA Life Insurance,INSURANCE,"Application Number,Date Of Birth (DDMMYYYY)",
233,Canara HSBC OBC Life Insurance,INSURANCE,"POLICY NO,DOB(YYYYMMDD)",
234,Exide Life Insurance,INSURANCE,"Policy Number,DOB",
235,Future Generali India Life Insurance Company Limited,INSURANCE,Policy Number,
236,Go Digit Insurance,INSURANCE,"Policy Number,Date Of Birth (DDMMYYYY)",
237,HDFC Life Insurance,INSURANCE,"Policy Number,Vehicle Registration Number",
239,ICICI Lombard General Insurance (Motor),INSURANCE,"Policy No/Challan No,Registration Number/Challan Date (DDMMYYYY)",
240,ICICI Prudential Life Insurance - New,INSURANCE,Policy Number,
241,Iffco Tokio General Insurance Company Limited,INSURANCE,"Policy Number,DOB(DD/MM/YYYY),Mobile Number",
242,IndiaFirst Life Insurance Company Ltd,INSURANCE,"Policy Number,Email ID,Mobile Number",
243,Kotak Life Insurance Company Limited,INSURANCE,"Policy Number,Email ID,Mobile Number,Registration Number",
244,Magma HDI - Health Insurance,INSURANCE,"Policy Number,Email ID,Mobile Number",
245,Magma HDI - Motor Insurance,INSURANCE,"Policy Number,Date Of Birth",
246,Magma HDI - Non Motor Insurance,INSURANCE,Policy Number,
247,Max Bupa Health Insurance,INSURANCE,Policy Number,
248,Max Life Insurance Company Limited,INSURANCE,"Previous Policy Number,Email ID,Mobile Number,Date Of Birth(dd/MM/yyyy)",
249,Pramerica Life Insurance Limited,INSURANCE,"Previous Policy Number,Previous Policy End Date(DD/MM/YYYY),Email ID,Mobile Number",
250,Reliance General Insurance Company Limited,INSURANCE,"Policy Number,Expiry date (DD/MM/YYYY)",
251,Reliance General Insurance Company Limited (Health),INSURANCE,"[""PolicyNo"",""DOB(YYYY\/MM\/DD)""]",
252,Royal Sundaram General Insurance Co. Limited,INSURANCE,"Policy Number,Email ID,Mobile Number,Vehicle Registration Number",
253,Shriram General Insurance,INSURANCE,"Policy Number,Email ID,Mobile Number",
254,Shriram General Insurance (Old),INSURANCE,"Policy Number,Date Of Birth (DDMMYYYY)",
255,Shriram Life Insurance Co. Ltd.,INSURANCE,"Policy,Date Of Birth Number,Mobile Number,Email Id",
256,Star Union Dai Ichi Life Insurance,INSURANCE,"Policy,Date Of Birth Number,Mobile Number,Email Id",
258,Future Generali India Life Insurance Company Limit...,INSURANCE,"Policy Number,DOB",
259,HDFC Life Insurance Co. Ltd.,INSURANCE,"Policy Number,Date Of Birth (DDMMYYYY)",
260,ICICI Prudential Life Insurance,INSURANCE,Policy Number,
262,Reliance Nippon Life Insurance,INSURANCE,Policy Number,
263,TATA AIA Life Insurance,INSURANCE,Policy Number,
296,Ahmedabad Municipal Corporation,MUNICIPAL TAXES AND SERVICES,Tenement No,
297,Bicholim Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
298,Canacona Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
299,Corporation of City Panaji,MUNICIPAL TAXES AND SERVICES,House Number,
300,Cuncolim Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
301,Curchorem Cacora Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
302,Greater Chennai Corporation,MUNICIPAL TAXES AND SERVICES,"New Property Id,Old Property Id",
303,Gulbarga City Corporation,MUNICIPAL TAXES AND SERVICES,Property Id,
304,Hubli-Dharwad Municipal Corporation,MUNICIPAL TAXES AND SERVICES,Property ID,
305,Kalyan Dombivali Municipal Corporation - Property Tax,MUNICIPAL TAXES AND SERVICES,"Consumer ID,Flat Number",
306,Madhya Pradesh Urban (e-Nagarpalika) - Property Tax,MUNICIPAL TAXES AND SERVICES,"UlbCode,PropertyId,Mobile,Email",
307,Margao Municipal Council,MUNICIPAL TAXES AND SERVICES,House Number,
308,MCGM Property Tax,MUNICIPAL TAXES AND SERVICES,"Property Account Number,Property Type",
309,Mhapsa Municipal Council,MUNICIPAL TAXES AND SERVICES,House Number,
310,Minicipal Corporation - Meerut,MUNICIPAL TAXES AND SERVICES,Consumer Number,
311,Mormugao Municipal Council,MUNICIPAL TAXES AND SERVICES,House Number,
312,Municipal Corporation Rohtak,MUNICIPAL TAXES AND SERVICES,Property ID,
313,Municipal Corporation Shimla,MUNICIPAL TAXES AND SERVICES,"Property ID/Customer ID,Bill Number,Mobile Number",
314,Nagar Nigam Agra,MUNICIPAL TAXES AND SERVICES,Property ID,
315,Nagar Nigam Aligarh,MUNICIPAL TAXES AND SERVICES,Property/PTI  Number,
316,Nagar Nigam Mathura-Vrindavan,MUNICIPAL TAXES AND SERVICES,Consumer Id,
